trip_id,driver,conditions,subjective,duration_min,samples_1hz,rpm_max,rpm_mean,speed_max,speed_mean,load_mean,coolant_max,oil_max,atf_max,stft_max,ltft_max
2026-05-16_13-44-51,,highway,normal,155.3,9321,3666.0,2250.5,155.0,90.1,70.6,96.0,101.2,98.0,13.3,4.7
2026-05-17_13-13-36,,highway,normal,138.6,8314,3378.0,2191.5,150.0,86.0,68.1,96.0,101.2,98.0,15.6,7.0
2026-05-22_09-23-55,,city,normal,31.0,1859,2545.0,1165.0,63.0,16.0,43.0,94.0,89.2,62.0,6.2,3.1
2026-05-22_16-49-59,,highway,normal,99.4,5965,4091.0,2312.8,161.0,95.8,68.9,95.0,99.8,92.0,15.6,1.6
2026-05-23_10-22-40,,mixed,normal,52.1,3129,2993.0,1576.2,115.0,52.5,53.6,94.0,93.8,78.0,7.8,0.0
2026-05-23_13-09-34,,mixed,normal,54.7,3281,3048.0,1544.3,112.0,48.7,54.3,94.0,95.2,79.0,7.8,0.8
2026-05-25_15-47-50,,mixed,normal,80.5,4830,3010.0,1638.5,114.0,56.0,53.6,96.0,96.8,92.0,10.9,1.6
2026-05-26_00-21-38,,city,normal,25.6,1538,2709.0,1272.5,54.0,23.1,42.9,99.0,96.8,89.0,6.2,3.9
2026-05-27_21-36-39,,city,normal,65.8,3949,2926.0,1244.3,67.0,25.9,43.5,95.0,96.0,88.0,10.2,0.0
2026-05-27_23-32-36,,city,normal,28.0,1683,2603.0,1183.7,62.0,20.4,45.5,99.0,98.2,96.0,6.2,1.6
